objectid,evidencnecislovrtupomocne,evidencnecislovrtu,povodneevidencnecislo,mapa,povodie,hydrorajon,lokalita,prevadzajucaorganizacia,suradnicax,suradnicay,suradnicazteren,suradnicazpazenie,hlbkavrtu,typvrtu,typvrtupopis,archivnecislospravy,archivnecisloretazec,utajeniespravydo,spracovaldatum,poznamka,pdf
505,L-33-12-B-b/15,15,S-2,L-33-12-B-b,Dunaj,74 Q,Kolárovo,,1312261,510502,110,,33.5,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,20840,,,-72662400000,,12Bb15.pdf
531,L-33-12-B-c/5,5,S-3,L-33-12-B-c,Dunaj,74 Q,Okoč - Molnárov dvor,309/61,1313353,519710.59,108.78,109.28,40,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,9222,,,81475200000,,12Bc5.pdf
579,L-33-12-B-c/53,53,HGG-1,L-33-12-B-c,Dunaj,74 Q,Gögh - kert,,1312768.68,519794.88,110.44,111.62,28,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",65601,,,588470400000,,12Bc53.pdf
594,L-33-12-B-d/3,3,SB-3,L-33-12-B-d,Dunaj,74 Q,Kolárovo - Farský Dvor,57/62,1313726,513274.31,108.75,109.15,29,12,zavlažovací vrt,10653,,,84067200000,10653-54,12Bd3.pdf
595,L-33-12-B-d/4,4,SB-4,L-33-12-B-d,Dunaj,74 Q,Kolárovo - Farský dvor,57/62,1314266,512833.41,108.5,109,29,12,zavlažovací vrt,10653,,,84067200000,10653-54,12Bd4.pdf
596,L-33-12-B-d/5,5,SB-5,L-33-12-B-d,Dunaj,74 Q,Kolárovo - Farský Dvor,57/62,1314375,513207.09,108.5,108.7,29,12,zavlažovací vrt,10653,,,84067200000,10653-54,12Bd5.pdf
599,L-33-12-B-d/8,8,K-2,L-33-12-B-d,Dunaj,74 Q,Kolárovo,76/65,1312386,510111.91,108.5,,43,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,15403,,,84240000000,,12Bd8.pdf
600,L-33-12-B-d/9,9,S III/4,L-33-12-B-d,Dunaj,74 Q,Kolárovo - samoty,0228-230/59,1313777,515512.69,109.195,109.695,166,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,4916,,,76118400000,,12Bd9.pdf
601,L-33-12-B-d/10,10,HVS-1,L-33-12-B-d,Dunaj,74 Q,Kolárovo - Sladký Dvor,1955/65,1314549,512012.91,108.24,108.74,80,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,15631,,,86832000000,,12Bd10.pdf
602,L-33-12-B-d/11,11,S-1,L-33-12-B-d,Dunaj,74 Q,Bodzianske Lúky,246/62,1314610,516221.81,109.2,109.6,30.3,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,10198,,,86832000000,,12Bd11.pdf
603,L-33-12-B-d/12,12,S-2,L-33-12-B-d,Dunaj,74 Q,Bodzianske Lúky,246/62,1314857,515737.31,109.2,109.6,26.2,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,10198,,,86832000000,,12Bd12.pdf
